No,ID,Click,"Total Order","Total Commission","Sale Amount",Detail
0,Total,"848,557
","34,160
","588.26K PHP
","28.60M PHP
",
1,rrvvmm0x,71,27,"17,802.08 PHP","886,171.56 PHP",Conversion
2,russel2312,"305,143","2,814","13,176.67 PHP","607,939.79 PHP",Conversion
3,louijene,"4,491",251,"13,104.32 PHP","1,656,402.32 PHP",Conversion
4,zyrellemacasaet,"4,958",655,"9,806.60 PHP","393,890.14 PHP",Conversion
5,annaaballe123,"1,460",104,"9,050.37 PHP","836,764.68 PHP",Conversion
6,madamdigger,"5,642","1,246","7,312.74 PHP","479,510.72 PHP",Conversion
7,chelle0904,"196,393","1,303","6,732.76 PHP","339,724.91 PHP",Conversion
8,mmdangs,"1,549",95,"5,282.90 PHP","959,416.98 PHP",Conversion
9,kathlenealonzo03,"1,186",106,"5,122.05 PHP","1,076,215.59 PHP",Conversion
10,louie0011,"1,861",103,"4,866.60 PHP","857,235.16 PHP",Conversion
11,budolmarsie,"1,264",152,"3,821.21 PHP","98,477.52 PHP",Conversion
12,ajadragons,8,2,"3,372.24 PHP","54,975.00 PHP",Conversion
13,thiddengems,"2,790",134,"2,865.79 PHP","65,257.10 PHP",Conversion
14,jkylljes,900,51,"2,534.57 PHP","663,059.92 PHP",Conversion
15,grace778,167,56,"2,520.74 PHP","315,027.36 PHP",Conversion
16,renwaldbautista10,"1,928",58,"2,455.60 PHP","326,264.75 PHP",Conversion
17,jcrgnzls,"10,449",313,"2,368.70 PHP","92,447.60 PHP",Conversion
18,allyssandy,547,46,"2,298.14 PHP","248,482.49 PHP",Conversion
19,patriciahenson,323,131,"2,248.37 PHP","92,994.54 PHP",Conversion
20,dafranco2396,200,88,"2,123.22 PHP","39,267.60 PHP",Conversion
21,itsjen08,49,18,"2,121.12 PHP","49,811.91 PHP",Conversion
22,ryan16,"47,968",403,"2,070.28 PHP","75,319.32 PHP",Conversion
23,cherrylyn,"1,386",150,"2,047.43 PHP","39,279.05 PHP",Conversion
24,draters,"1,051",279,"1,978.64 PHP","56,193.46 PHP",Conversion
25,carlajeane09,821,80,"1,978.10 PHP","24,858.42 PHP",Conversion
26,irenramirez,"1,138",211,"1,957.71 PHP","45,755.84 PHP",Conversion
27,alainramos,98,39,"1,909.46 PHP","90,340.92 PHP",Conversion
28,jomari16,377,42,"1,863.68 PHP","537,028.72 PHP",Conversion
29,cristilynp8,102,23,"1,843.80 PHP","40,633.00 PHP",Conversion
30,yanahcute,"1,325",43,"1,788.90 PHP","406,556.41 PHP",Conversion
31,lonelygirl69,16,3,"1,787.18 PHP","14,655.00 PHP",Conversion
32,taraweasley10,158,56,"1,771.33 PHP","41,304.38 PHP",Conversion
33,joralynlyn,"1,688",104,"1,742.69 PHP","58,227.94 PHP",Conversion
34,yengzdiy,"1,206",320,"1,733.49 PHP","128,763.93 PHP",Conversion
35,blinkeu08,"1,212",94,"1,707.35 PHP","63,891.62 PHP",Conversion
36,tzacky,483,31,"1,679.41 PHP","351,256.13 PHP",Conversion
37,rexuz007,116,9,"1,669.14 PHP","117,689.50 PHP",Conversion
38,cirilojr,535,44,"1,613.09 PHP","237,494.12 PHP",Conversion
39,ktb0503,23,13,"1,607.21 PHP","32,065.00 PHP",Conversion
40,crisblessyjoy,165,29,"1,601.51 PHP","135,330.45 PHP",Conversion
41,everythingonlineshopph,38,10,"1,596.56 PHP","42,326.00 PHP",Conversion
42,joshes,27,28,"1,536.01 PHP","58,718.00 PHP",Conversion
43,kissmebaby,672,40,"1,472.01 PHP","444,074.21 PHP",Conversion
44,cesces17,193,28,"1,432.53 PHP","20,839.04 PHP",Conversion
45,richard0722,78,26,"1,389.61 PHP","131,576.03 PHP",Conversion
46,pixzzie,661,81,"1,362.50 PHP","28,367.79 PHP",Conversion
47,robertbayhon,699,36,"1,349.50 PHP","200,932.30 PHP",Conversion
48,zhannisi,778,81,"1,309.08 PHP","18,182.88 PHP",Conversion
49,princekelvinocampo,471,31,"1,229.67 PHP","205,770.89 PHP",Conversion
50,mommycristy,394,40,"1,225.55 PHP","18,448.06 PHP",Conversion
51,krizielle,366,21,"1,220.60 PHP","24,819.00 PHP",Conversion
52,kabayanrice,91,28,"1,174.02 PHP","64,657.70 PHP",Conversion
